,ClientMacAddr,Freq_per_day,lat_std,Stay_duration,lng_std,Category,Floor
0,00:00:00:00:00:00,29.0,0.018552240340613,2.0,0.0356398199651289,0,0
1,00:08:22:24:b7:fb,14.0,0.0212058452184272,1.0,0.0075722286060026,0,2
2,00:08:22:42:b8:fb,2.0,0.0342882558007344,1.0,0.1155395329915771,0,2
3,00:08:22:4c:c2:fb,12.0,0.0,1.0,0.0,0,2
4,00:08:22:4c:f9:cd,9.0,0.0,1.0,0.0,0,1
5,00:08:22:4e:bb:fb,10.0,0.0343014251330845,1.0,0.0322045319674996,0,1
6,00:08:22:5a:c3:fb,2.0,0.0207553813651714,1.0,0.0146310348402799,0,2
7,00:08:22:a0:b9:fb,1.0,,1.0,,0,1
8,00:08:22:a0:db:fc,1.0,,1.0,,0,2
9,00:08:22:a2:bc:fb,1.0,,1.0,,0,2
10,00:08:22:b4:18:fc,13.0,0.0,1.0,0.0,0,2
11,00:08:22:d4:bc:fb,1.0,,1.0,,0,1
12,00:0b:82:d0:ff:35,2.5,0.0428305648709977,1.75,0.0152156891594066,0,2
13,00:0c:e7:02:67:0d,13.0,0.01076725154364,1.0,0.0416693371355459,0,1
14,00:0c:e7:04:90:95,14.0,0.0415623527599904,1.0,0.0697689638286422,0,1
15,00:0c:e7:05:ad:5f,12.0,0.0,1.0,0.0,0,1
16,00:0c:e7:0f:5a:05,13.0,0.0049575092735374,1.0,0.005015658223353,0,1
17,00:0c:e7:0f:71:ac,13.0,0.0311702427018871,1.0,0.0062385860352721,0,1
18,00:0c:e7:12:8d:bb,14.0,0.0340754016648647,1.0,0.0352567282845608,0,1
19,00:0c:e7:13:39:d2,13.0,0.0329842338429915,1.0,0.0285390687390869,0,1
20,00:0c:e7:13:83:e1,13.0,0.0,1.0,0.0,0,1
21,00:0c:e7:13:8f:36,13.0,0.0054051633936141,1.0,0.0032153779129654,0,1
22,00:0c:e7:15:47:f0,13.0,0.0216379988940019,1.0,0.0275809648748998,0,1
23,00:0c:e7:16:f5:f0,13.0,0.0063283974971779,1.0,0.0010529944317218,0,1
24,00:0c:e7:1b:9a:bd,13.0,0.0,1.0,0.0,0,1
25,00:0c:e7:1d:b3:b3,14.0,0.0485335932986781,1.0,0.0244125921502969,0,1
26,00:0c:e7:20:9e:6a,13.0,0.0005324559478514,1.0,0.0280382710166604,0,1
27,00:0c:e7:22:4d:5c,13.0,0.0140943299149179,1.0,0.0751364086901109,0,1
28,00:0c:e7:25:3e:8c,13.0,0.0058172439688367,1.0,0.0120590453884101,0,1
29,00:0c:e7:28:36:4f,14.0,0.05417504317005,1.0,0.0334139950582287,0,1
30,00:0c:e7:28:a1:b4,14.0,0.1114027427468371,1.0,0.0108944666405143,0,1
31,00:0c:e7:29:13:4b,13.0,0.1002621156419954,1.0,0.0447851417157044,0,1
32,00:0c:e7:2c:73:b8,14.0,0.0074057278720588,1.0,0.023390997359157,0,1
33,00:0c:e7:2c:b6:55,14.0,0.1820960871554297,1.0,0.0493688898674795,0,1
34,00:0c:e7:2e:89:1b,14.0,0.0313633285052882,1.0,0.0221586406862997,0,1
35,00:0c:e7:32:83:c6,12.0,0.0,1.0,0.0,0,1
36,00:0c:e7:33:11:88,12.0,0.0,1.0,0.0,0,1
37,00:0c:e7:35:51:19,12.0,0.0,1.0,0.0,0,1
38,00:0c:e7:35:78:f7,1.0,,1.0,,0,1
39,00:0c:e7:3b:56:ed,14.0,0.0176026394222842,1.0,0.0116656470849294,0,1
40,00:0c:e7:3b:d9:95,13.0,0.0004103159569753,1.0,0.0004836237749884,0,1
41,00:0c:e7:3c:83:01,13.0,0.0077093246689048,1.0,0.0012206538418148,0,1
42,00:0c:e7:3d:1c:1d,13.0,0.0,1.0,0.0,0,1
43,00:0c:e7:3d:44:b5,13.0,0.0,1.0,0.0,0,2
44,00:0c:e7:41:39:24,13.0,0.0,1.0,0.0,0,1
45,00:0c:e7:43:12:e7,12.0,0.0,1.0,0.0,0,1
46,00:0c:e7:44:21:13,14.0,0.0603021313982497,1.0,0.0431833161240028,0,1
47,00:0c:e7:49:b4:2f,14.0,0.0697432101715509,1.0,0.02118863432418,0,1
48,00:0c:e7:4a:84:8c,13.0,0.0272293663103218,1.0,0.0098419453586136,0,1
49,00:0c:e7:4c:ba:22,14.0,0.0278032427410318,1.0,0.0303368929909068,0,1
50,00:0c:e7:4f:63:ed,13.0,0.0172307932409428,1.0,0.0120995232367666,0,1
51,00:0c:e7:51:c3:6d,13.0,0.0035538728292918,1.0,0.0176148381663573,0,1
52,00:0c:e7:52:0b:d8,14.0,0.033628551338905,1.0,0.0359400162629923,0,1
53,00:0c:e7:54:f7:92,14.0,0.0929039602128656,1.0,0.0389901841411448,0,1
54,00:0c:e7:57:04:d5,13.0,0.0,1.0,0.0,0,1
55,00:0c:e7:57:20:3f,13.0,0.0188059790955731,1.0,0.0090989407817104,0,1
56,00:0c:e7:58:16:d3,14.0,0.1263433058850977,1.0,0.0472111897931774,0,1
57,00:0c:e7:5a:ed:e2,13.0,0.0708940936871902,1.0,0.0567220818135495,0,1
58,00:0c:e7:5c:47:ea,14.0,0.1008207914653384,1.0,0.0152152413854863,0,1
59,00:0c:e7:5c:8d:e0,13.0,0.0107217870788566,1.0,0.0056921605030728,0,1
60,00:0c:e7:5f:45:c3,13.0,0.0005464682094088,1.0,0.0206070253065558,0,1
61,00:0c:e7:5f:83:d0,13.0,0.0024751670367306,1.0,0.0004436454353991,0,1
62,00:0c:e7:60:24:29,13.0,0.027837509062065,1.0,0.042162287845986,0,1
63,00:0c:e7:62:22:b2,13.0,0.0084010522978209,1.0,0.0094258647904221,0,1
64,00:0c:e7:63:a6:9e,13.0,0.0238863530194801,1.0,0.0154581549566253,0,1
65,00:0c:e7:63:d0:d9,13.0,0.0150341360757152,1.0,0.0373219859957752,0,1
66,00:0c:e7:65:1f:ea,13.0,0.0,1.0,0.0,0,1
67,00:0c:e7:65:3a:a0,13.0,0.0058843041631133,1.0,0.0171249553303137,0,1
68,00:0c:e7:65:88:5d,13.0,0.0080540805056658,1.0,0.0133838567783616,0,1
69,00:0c:e7:66:c0:d6,13.0,0.0,1.0,0.0,0,1
70,00:0c:e7:67:c8:0a,13.0,0.0,1.0,0.0,0,1
71,00:0c:e7:68:97:55,13.0,0.0168180046379194,1.0,0.0661907265566015,0,1
